出度,入度
2,1
2,1
1,1
3,1
7,5
2,1
1,1
3,1
1,1
1,1
1,1
1,2
2,1
1,2
4,1
1,2
2,1
2,1
4,6
2,1
2,1
1,1
1,1
2,1
2,1
1,1
0,1
1,1
1,1
0,1
2,1
1,1
1,1
1,1
1,1
1,1
1,20
1,1
1,1
1,1
2,1
2,1
1,1
1,1
0,2
1,31
5,1
1,1
2,1
2,2
0,1
1,1
1,1
2,1
1,2
1,1
1,5
43,1
1,1
3,1
1,1
1,1
2,2
2,1
1,1
6,1
1,1
1,1
1,1
2,1
1,3
1,1
1,4
11,1
3,2
1,1
1,1
1,1
1,1
1,1
3,2
2,2
2,2
1,1
1,1
2,5
1,1
2,2
6,3
2,1
1,1
2,1
1,1
0,1
4,2
2,1
1,1
2,1
0,2
2,1
1,3
3,2
1,1
1,1
1,1
2,1
1,1
2,1
1,1
1,1
2,2
2,1
1,3
3,2
1,1
2,1
1,1
1,1
1,1
2,1
0,1
2,2
1,1
1,1
1,1
1,1
1,1
1,2
1,1
2,2
9,5
2,2
1,1
1,1
3,3
2,1
1,1
0,2
1,1
1,1
1,1
1,1
3,1
1,5
2,1
1,1
2,1
1,1
1,2
0,0
1,1
1,2
4,1
2,1
3,1
4,3
2,1
3,1
1,1
0,1
2,1
1,1
1,1
1,1
0,1
1,1
1,1
1,1
1,1
1,3
4,1
1,1
7,4
2,2
1,1
2,1
1,2
2,1
1,1
1,1
2,1
1,5
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
0,1
1,1
2,1
1,1
1,1
3,2
2,1
1,5
4,1
3,2
1,1
1,1
1,1
1,1
1,1
0,1
2,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
2,1
0,1
1,1
1,1
2,2
1,1
2,1
2,1
3,2
1,1
2,1
2,1
7,4
6,5
5,2
1,1
1,1
1,1
0,1
1,1
1,1
2,1
1,1
1,1
1,1
2,1
1,1
2,1
1,3
1,1
3,1
1,1
0,1
1,1
1,1
1,1
1,2
3,1
2,1
1,1
1,1
1,1
1,1
3,1
5,4
2,1
1,47
10,1
3,2
1,1
13,13
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
2,2
3,3
1,1
1,1
1,1
2,1
1,1
0,1
1,1
2,1
2,4
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
1,1
1,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
1,1
0,1
1,1
2,1
1,1
1,2
3,1
1,1
4,1
1,2
1,1
2,1
1,1
1,1
1,1
0,1
1,1
1,1
2,1
1,1
0,1
2,1
1,3
2,1
1,1
1,1
2,1
1,2
1,1
3,2
1,1
1,1
2,2
1,1
1,1
1,11
8,1
1,1
1,1
1,1
1,3
1,2
3,1
4,1
1,1
1,1
1,1
1,1
4,1
1,1
3,1
0,0
0,0
0,0
0,0
3,1
1,1
1,1
1,51
17,1
1,1
1,1
1,1
1,1
2,1
0,1
2,1
1,1
1,1
1,15
2,1
1,2
1,1
2,2
0,1
1,1
2,1
2,3
5,6
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,1
0,1
1,1
2,1
1,1
0,1
1,1
1,1
1,1
1,1
1,1
2,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,29
31,1
1,1
2,1
1,1
1,1
1,1
1,1
0,1
1,1
1,1
1,1
1,1
23,6
1,1
2,3
2,1
2,1
1,1
3,1
1,1
1,1
1,1
1,1
6,6
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,3
3,1
1,2
6,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
1,1
2,1
2,3
1,4
1,2
1,1
2,1
1,1
1,1
1,1
1,1
3,1
0,3
0,2
0,4
0,3
0,4
0,5
0,5
0,3
1,2
26,1
1,1
9,1
9,2
4,2
4,1
1,2
4,1
1,2
3,1
1,17
1,1
13,1
1,11
1,1
2,1
3,1
1,1
2,1
1,1
0,0
1,1
1,1
1,1
1,1
1,1
4,2
1,1
1,1
9,9
1,1
2,1
3,1
3,1
1,1
3,1
1,1
1,1
1,1
1,1
2,1
3,4
1,1
2,1
2,1
2,3
1,3
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,2
1,1
2,3
1,1
2,1
1,1
1,1
1,1
1,1
1,31
22,1
1,1
1,1
1,1
1,1
2,2
1,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
3,2
2,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
2,1
2,1
1,1
1,1
1,1
1,1
2,1
3,1
3,7
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
